0
1. Climate & Atmosphere (Khí hậu & Khí quyển)**3==D3==D* Biến đổi khí hậu (Climate change)3==D* Khí nhà kính (Greenhouse gases)3==D* Ô nhiễm không khí (Air pollution)3==D* Tầng ozone và chất lượng không khí (Ozone layer, air quality)3==D* Thích ứng & giảm thiểu biến đổi khí hậu (Adaptation & mitigation)	2. Water & Marine Environment (Tài nguyên nước & Môi trường biển)**3==D3==D* Chất lượng nước (Water quality)3==D* Nguồn nước ngọt, sông, hồ, nước ngầm3==D* Ô nhiễm nước (Water pollution)3==D* Đại dương, biển và vùng ven biển (Marine & coastal environment)3==D* Vi nhựa, rác thải biển, sinh vật biển	3. Land, Soil & Agriculture (Đất đai, Đất nông nghiệp & Canh tác)**3==D3==D* Thoái hóa đất, xói mòn, sa mạc hóa3==D* Ô nhiễm đất (Soil contamination)3==D* Quản lý sử dụng đất (Land use management)3==D* Nông nghiệp bền vững, trồng trọt hữu cơ3==D* Phát triển đô thị và môi trường đất	4. Biodiversity & Ecosystems (Đa dạng sinh học & Hệ sinh thái)**3==D3==D* Bảo tồn loài, bảo vệ rừng, động thực vật quý hiếm3==D* Suy thoái hệ sinh thái, mất môi trường sống3==D* Rừng, đồng cỏ, vùng ngập nước3==D* Khôi phục và phục hồi thiên nhiên (Restoration ecology)3==D* Dịch vụ hệ sinh thái (Ecosystem services)	5. Energy & Resources (Năng lượng & Tài nguyên)**3==D3==D* Năng lượng tái tạo (gió, mặt trời, thủy điện, sinh khối)3==D* Hiệu quả năng lượng, tiết kiệm năng lượng3==D* Khai thác tài nguyên (dầu, khí, khoáng sản)3==D* Tiêu thụ năng lượng & phát thải carbon3==D* Nền kinh tế carbon thấp	6. Waste, Pollution & Chemicals (Chất thải, Ô nhiễm & Hóa chất)**3==D3==D* Quản lý rác thải sinh hoạt & công nghiệp3==D* Rác thải nguy hại, chất độc hại3==D* Ô nhiễm tiếng ồn, ánh sáng, nhiệt3==D* Ô nhiễm công nghiệp, kim loại nặng3==D* Quản lý hóa chất & an toàn môi trường	7. Circular Economy & Sustainability (Kinh tế tuần hoàn & Phát triển bền vững)**3==D3==D* Giảm – Tái sử dụng – Tái chế (3R)3==D* Sử dụng tài nguyên hiệu quả (Resource efficiency)3==D* Sản phẩm xanh, tiêu dùng bền vững3==D* Chuỗi cung ứng xanh (Green supply chain)3==D* Mục tiêu phát triển bền vững (SDGs)	8. Environment & Human Health (Môi trường & Sức khỏe con người)**3==D3==D* Ảnh hưởng của ô nhiễm đến sức khỏe3==D* Bệnh liên quan môi trường (ô nhiễm, hóa chất, nước bẩn)3==D* Chất độc, kim loại nặng, thuốc trừ sâu3==D* Tiếng ồn đô thị, ánh sáng nhân tạo3==D* Sức khỏe tinh thần & biến đổi khí hậu3==D	9. Environmental Policy & Governance (Chính sách & Quản trị môi trường)**3==D3==D* Luật và quy định môi trường3==D* Cơ chế quốc tế (COP, IPCC, UNFCCC, SDGs)3==D* Quản trị môi trường (Environmental governance)3==D* Chính sách khí hậu quốc gia & địa phương3==D* Giáo dục & truyền thông môi trường	10. Urban Environment & Green Living (Môi trường đô thị & Lối sống xanh)**3==D3==D* Quy hoạch xanh, thành phố bền vững3==D* Giao thông xanh, giảm phát thải đô thị3==D* Không gian xanh, cây xanh đô thị3==D* Công nghệ xanh, nhà thông minh, tiết kiệm năng lượng3==D* Lối sống xanh, tiêu dùng thân thiện môi trường
Sustainable Climate Solutions	Water Infrastructure Resilience	Organic Farming Certification	Habitat Conservation Initiative	Renewable Power Generation	Chemical Safety Policy	Sustainability Initiative	Toxic Material Impact	Environmental Decision Support Systems	Sustainable Urban Policy	Not Done
Climate Change Education	Marine Ecosystem Assessment	Soil Ecosystem Services	Ecosystem Data Collection	Energy Investment Analysis	Environmental Contaminant Analysis	Recycling Value Chain	Environmental Medicine Program	Environmental Policy Partnerships	Urban Environment Protection	Not Done
Emission Monitoring Framework	Sustainable Ocean Economy	Land Quality Monitoring	Biodiversity Monitoring System	Energy Transition Planning	Pollution Risk Assessment	Sustainable Growth Strategy	Noise Health Research	Environmental Law Education	Eco Friendly Urban Design	Not Done
Renewable Expansion Targets	Waterborne Contaminant Control	Agroecological Practices	Forest Rehabilitation Plan	Sustainable Resource Development	Recycling Innovation Center	Circular Economy Development	Air Pollution Index Study	Environmental Accountability Index	Green City Development Strategy	Not Done
Atmospheric Physics Research	River Basin Conservation	Soil Erosion Prevention	Wildlife Rescue Network	Energy Recovery Systems	Waste Disposal System	Eco Policy Framework	Climate Health Adaptation	Green Public Policy	Sustainable Urban Culture	Not Done
Climate Vulnerability Index	Freshwater Management Strategy	Sustainable Farmland Practices	Ecosystem Sustainability Index	Renewable Resource Optimization	Chemical Management Framework	Sustainability Education	Pollution Exposure Mapping	Environmental Governance Principles	Urban Resource Management	Not Done
Energy System Decarbonization	Coastal Pollution Reduction	Soil Nutrient Recovery	Habitat Recovery Program	Energy Saving Campaign	Waste Recovery Technology	Circular Product Innovation	Air Pollution Health Effects	Environmental Policy Outcomes	Smart Green Infrastructure	Not Done
Carbon Neutral Strategy	Ocean Temperature Analysis	Agricultural Water Efficiency	Forest Biodiversity Conservation	Green Energy Transformation	Industrial Waste Policy	Green Technology Adoption	Ô nhiễm không khí và sức khỏe	Sustainability Policy Integration	Sustainable Smart Homes	Not Done
Air Quality Improvement Plan	Marine Resource Governance	Land Reclamation Projects	Ecosystem Restoration Policy	Carbon Neutral Infrastructure	Environmental Hazard Prevention	Sustainable Resource Utilization	Environmental Toxicology	Environmental Law	Green Building Innovation	Not Done
Sustainable Weather Systems	Water Quality	Land Degradation	Biodiversity Conservation	Energy Future Outlook	Waste Management	Circular Economy	Độc chất môi trường	Luật bảo vệ môi trường	Sustainable City	Not Done
Climate Change	Chất lượng nước	Thoái hóa đất	Bảo tồn đa dạng sinh học	Renewable Energy	Quản lý chất thải	Kinh tế tuần hoàn	Waterborne Diseases	Climate Policy	Thành phố bền vững	Not Done
Biến Đổi Khí Hậu	Freshwater Resources	Soil Erosion	Endangered Species Protection	Năng lượng tái tạo	Solid Waste	Sustainable Development	Bệnh do nước bẩn	Chính sách khí hậu	Urban Planning	Not Done
Greenhouse Effect	Nguồn nước ngọt	Xói mòn đất	Bảo vệ loài nguy cấp	Solar Power	Rác thải rắn	Phát triển bền vững	Heavy Metal Exposure	Environmental Governance	Quy hoạch đô thị	Not Done
Khí Nhà Kính	Groundwater Protection	Sustainable Agriculture	Habitat Loss	Năng lượng mặt trời	Hazardous Waste	Green Supply Chain	Tiếp xúc kim loại nặng	Quản trị môi trường	Green Infrastructure	Not Done
Global Warming	Bảo vệ nước ngầm	Nông nghiệp bền vững	Mất môi trường sống	Wind Power	Rác thải nguy hại	Chuỗi cung ứng xanh	Noise Pollution	Sustainable Development Goals	Hạ tầng xanh	Not Done
Hiệu Ứng Nhà Kính	Ocean Pollution	Soil Fertility	Forest Conservation	Năng lượng gió	Industrial Waste	Resource Efficiency	Ô nhiễm tiếng ồn	Mục tiêu phát triển bền vững	Eco Friendly Lifestyle	Not Done
Carbon Dioxide Emission	Ô nhiễm đại dương	Độ phì nhiêu của đất	Bảo tồn rừng	Hydropower	Chất thải công nghiệp	Hiệu quả sử dụng tài nguyên	Light Pollution	Environmental Regulation	Lối sống thân thiện môi trường	Not Done
Phát Thải Carbon	Marine Ecosystems	Organic Farming	Ecosystem Restoration	Thủy điện	Municipal Waste	Recycling Process	Ô nhiễm ánh sáng	Quy định môi trường	Smart City Development	Not Done
Climate Adaptation	Hệ sinh thái biển	Canh tác hữu cơ	Phục hồi hệ sinh thái	Geothermal Energy	Rác thải sinh hoạt	Quy trình tái chế	Urban Stress	United Nations Framework Convention on Climate Change	Phát triển đô thị thông minh	Not Done
Thích Ứng Với Khí Hậu	Coastal Erosion	Soil Contamination	Wildlife Habitat	Năng lượng địa nhiệt	Toxic Waste	Reuse Materials	Căng thẳng đô thị	Công ước khung Liên Hợp Quốc về biến đổi khí hậu	Urban Green Space	Not Done
Air Pollution	Xói mòn bờ biển	Ô nhiễm đất	Sinh cảnh động vật hoang dã	Biomass Energy	Chất thải độc hại	Tái sử dụng vật liệu	Climate Anxiety	Public Environmental Policy	Không gian xanh đô thị	Not Done
Ô Nhiễm Không Khí	An toàn nước uống	Desertification	Ecosystem Services	Năng lượng sinh khối	Electronic Waste	Reduce Waste	Lo âu khí hậu	Chính sách môi trường công	Giao thông carbon thấp	Not Done
Ozone Layer Depletion	Sea Level Rise	Sa mạc hóa	Dịch vụ hệ sinh thái	Tidal Energy	Rác thải điện tử	Giảm thiểu chất thải	Chemical Exposure	National Climate Strategy	Thiết kế tòa nhà xanh	Not Done
Suy Giảm Tầng Ozon	Mực nước biển dâng	Land Use Planning	Wetland Protection	Năng lượng thủy triều	Medical Waste	Tiêu dùng bền vững	Phơi nhiễm hóa chất	Chiến lược khí hậu quốc gia	Urban Sustainability	Not Done
Renewable Energy	Water Scarcity	Quy hoạch sử dụng đất	Bảo vệ vùng đất ngập nước	Wave Energy	Rác thải y tế	Eco Design	Respiratory Diseases	Environmental Management System	Phát triển đô thị bền vững	Not Done
Năng Lượng Tái Tạo	Thiếu nước sạch	Agroforestry	Species Extinction	Năng lượng sóng biển	Plastic Waste	Thiết kế sinh thái	Bệnh hô hấp	Hệ thống quản lý môi trường	Public Transportation Efficiency	Not Done
Carbon Neutrality	Coral Reef Conservation	Nông lâm kết hợp	Tuyệt chủng loài	Green Energy	Rác thải nhựa	Sustainable Production	Asthma and Environment	Environmental Education	Hiệu quả giao thông công cộng	Not Done
Trung Hòa Carbon	Bảo tồn rạn san hô	Soil Conservation	Nature Preservation	Năng lượng xanh	Waste Disposal	Sản xuất bền vững	Hen suyễn và môi trường	Giáo dục môi trường	Green Roof	Not Done
Temperature Rise	Marine Biodiversity	Bảo tồn đất	Bảo tồn thiên nhiên	Clean Energy	Xử lý chất thải	Sản xuất xanh	Soil Contamination Health Risk	International Environmental Agreement	Mái nhà xanh	Not Done
Tăng Nhiệt Độ Toàn Cầu	Đa dạng sinh học biển	Crop Rotation	Ecological Balance	Năng lượng sạch	Waste Treatment	Renewable Resources	Ô nhiễm đất và rủi ro sức khỏe	Hiệp định môi trường quốc tế	Kiến trúc thân thiện môi trường	Not Done
Methane Emission	Wastewater Treatment	Luân canh cây trồng	Cân bằng sinh thái	Sustainable Energy	Xử lý rác thải	Tài nguyên tái tạo	Pesticide Poisoning	Quản lý bền vững	Sustainable Mobility	Not Done
Khí Metan	Xử lý nước thải	Urban Expansion	Bảo vệ động thực vật quý hiếm	Năng lượng bền vững	Waste Recycling	Tận dụng giá trị rác thải	Ngộ độc thuốc trừ sâu	Environmental Communication	Di chuyển bền vững	Not Done
Extreme Weather	Công nghệ khử muối	Mở rộng đô thị	Natural Resources Management	Energy Efficiency	Tái chế rác thải	Closed Loop System	Mental Health and Climate Change	Truyền thông môi trường	City Energy Efficiency	Not Done
Thời Tiết Cực Đoan	Quản lý lưu vực sông	Land Management	Quản lý tài nguyên thiên nhiên	Hiệu quả năng lượng	Waste Reduction	Hệ thống vòng kín	Sức khỏe tinh thần và biến đổi khí hậu	Green Governance	Hiệu quả năng lượng đô thị	Not Done
Sea Level Rise	Aquatic Habitats	Quản lý đất đai	Ecosystem Degradation	Energy Conservation	Giảm thiểu rác thải	Lối sống không rác thải	Airborne Particles	Quản trị xanh	Urban Forest	Not Done
Mực Nước Biển Dâng	Môi trường sống dưới nước	Soil Restoration	Suy thoái hệ sinh thái	Tiết kiệm năng lượng	Zero Waste	Sustainable Business	Hạt bụi trong không khí	Đánh giá tác động môi trường	Rừng đô thị	Not Done
Deforestation	Waterborne Diseases	Phục hồi đất	Forest Restoration	Energy Transition	Không rác thải	Doanh nghiệp bền vững	Water Sanitation	Environmental Planning	Waste Free City	Not Done
Phá Rừng	Bệnh do nước gây ra	Nông nghiệp chính xác	Khôi phục rừng	Chuyển đổi năng lượng	Circular Waste Economy	Corporate Sustainability	Vệ sinh nguồn nước	Quy hoạch môi trường	Thành phố không rác thải	Not Done
Carbon Capture	Axit hóa đại dương	Topsoil Loss	Biodiversity Hotspots	Fossil Fuels	Kinh tế tuần hoàn rác thải	Phát triển doanh nghiệp bền vững	Industrial Emissions	Climate Adaptation Policy	Urban Biodiversity	Not Done
Thu Giữ Carbon	Phục hồi đất ngập nước	Mất lớp đất mặt	Vùng đa dạng sinh học cao	Nhiên liệu hóa thạch	Sustainable Waste Practices	Green Innovation	Khí thải công nghiệp	Chính sách thích ứng khí hậu	Đa dạng sinh học đô thị	Not Done
Sustainable Development	Rainwater Harvesting	Sustainable Land Use	Ecosystem Monitoring	Coal Mining	Thực hành quản lý rác bền vững	Đổi mới xanh	Public Health and Environment	Environmental Awareness Campaign	Renewable Energy in Cities	Not Done
Phát Triển Bền Vững	Thu gom nước mưa	Sử dụng đất bền vững	Giám sát hệ sinh thái	Khai thác than đá	Recycling Industry	Sustainable Investment	Sức khỏe cộng đồng và môi trường	Chiến dịch nâng cao nhận thức môi trường	Năng lượng tái tạo trong đô thị	Not Done
Air Quality Index	Quản lý vùng ven biển	Organic Soil Improvement	Wildlife Conservation	Oil Extraction	Ngành công nghiệp tái chế	Đầu tư bền vững	Toxic Waste	Sustainable Policy Framework	Smart Energy Management	Not Done
Chỉ Số Chất Lượng Không Khí	Khu bảo tồn biển	Cải tạo đất hữu cơ	Bảo tồn động vật hoang dã	Khai thác dầu mỏ	Landfill	Environmental Responsibility	Chất thải độc hại	Khung chính sách bền vững	Quản lý năng lượng thông minh	Not Done
Solar Radiation	Xâm nhập mặn	Soil Pollution	Natural Habitats	Natural Gas Production	Bãi chôn lấp rác	Trách nhiệm môi trường	Indoor Air Quality	Environmental Decision Making	Urban Heat Island	Not Done
Bức Xạ Mặt Trời	Water Pollution Control	Ô nhiễm môi trường đất	Môi trường sống tự nhiên	Khai thác khí tự nhiên	Incineration	Social Responsibility	Chất lượng không khí trong nhà	Ra quyết định môi trường	Hiệu ứng đảo nhiệt đô thị	Not Done
Urban Heat Island	Kiểm soát ô nhiễm nước	Land Reclamation	Forest Ecosystems	Mineral Resources	Đốt rác	Trách nhiệm xã hội	Chemical Safety	Quản trị môi trường địa phương	Public Green Space	Not Done
Hiệu Ứng Đảo Nhiệt Đô Thị	Surface Water Monitoring	Khai hoang phục hồi đất	Hệ sinh thái rừng	Tài nguyên khoáng sản	Composting	Báo cáo phát triển bền vững	An toàn hóa chất	Global Climate Agreements	Không gian công cộng xanh	Not Done
Renewable Resources	Giám sát nước mặt	Fertilizer Management	Marine Biodiversity	Raw Materials	Ủ phân compost	Circular Supply Chain	Heatwave Health Impact	Thỏa thuận khí hậu toàn cầu	Chính sách đô thị xanh	Not Done
Tài Nguyên Tái Tạo	Khai thác thủy sản bền vững	Quản lý phân bón	Đa dạng sinh học biển	Nguyên liệu thô	Biodegradable Waste	Chuỗi cung ứng tuần hoàn	Ảnh hưởng sức khỏe do nắng nóng	Chính sách giảm phát thải	Sustainable Architecture	Not Done
Climate Resilience	Blue Economy	Soil Moisture Monitoring	Ecosystem Function	Resource Management	Rác hữu cơ phân hủy sinh học	Eco Efficiency	Radiation Exposure	Environmental Justice	Kiến trúc bền vững	Not Done
Khả Năng Chống Chịu Khí Hậu	Kinh tế biển xanh	Theo dõi độ ẩm đất	Chức năng hệ sinh thái	Quản lý tài nguyên	Organic Waste	Hiệu quả sinh thái	Tiếp xúc phóng xạ	Công bằng môi trường	Urban Resilience	Not Done
Weather Pattern	Marine Debris	Agroecology	Protected Areas	Energy Consumption	Rác hữu cơ	Life Cycle Assessment	Food Contamination	Environmental Legislation	Khả năng chống chịu của đô thị	Not Done
Kiểu Thời Tiết	Rác thải biển	Sinh thái nông nghiệp	Khu bảo tồn	Tiêu thụ năng lượng	Inorganic Waste	Đánh giá vòng đời sản phẩm	Ô nhiễm thực phẩm	Pháp luật môi trường	Sustainable Transport	Not Done
Greenhouse Gases	Plastic Pollution	Land Use Change	Species Recovery	Carbon Emissions	Rác vô cơ	Green Economy	Drinking Water Quality	Carbon Reduction Policy	Giao thông bền vững	Not Done
Khí Nhà Kính Tự Nhiên	Ô nhiễm nhựa	Chuyển đổi mục đích sử dụng đất	Phục hồi loài	Phát thải carbon	Waste Segregation	Nền kinh tế xanh	Chất lượng nước uống	Chính sách giảm carbon	Eco City	Not Done
Climate Mitigation	Nuôi trồng thủy sản bền vững	Soil Structure	Ecosystem Resilience	Low Carbon Economy	Phân loại rác	Sustainable Design	Lead Poisoning	Environmental Monitoring Program	Thành phố sinh thái	Not Done
Giảm Thiểu Biến Đổi Khí Hậu	Eutrophication	Cấu trúc đất	Khả năng phục hồi của hệ sinh thái	Nền kinh tế carbon thấp	Waste Collection	Thiết kế bền vững	Ngộ độc chì	Chương trình giám sát môi trường	Green Construction Materials	Not Done
Energy Efficiency	Phú dưỡng nguồn nước	Terracing	Tropical Rainforest	Decarbonization	Thu gom rác	Eco Friendly Products	Plastic Pollution Health Effect	Sustainable Urban Policy	Vật liệu xây dựng xanh	Not Done
Hiệu Quả Năng Lượng	Water Recycling	Làm ruộng bậc thang	Rừng mưa nhiệt đới	Giảm phát thải khí carbon	Waste Transportation	Sản phẩm thân thiện môi trường	Tác động sức khỏe của rác thải nhựa	Chính sách đô thị bền vững	Clean Mobility	Not Done
Fossil Fuels	Tái sử dụng nước	Urban Agriculture	Endemic Species	Carbon Footprint	Vận chuyển chất thải	Green Packaging	Environmental Carcinogens	Environmental Responsibility	Di chuyển sạch	Not Done
Nhiên Liệu Hóa Thạch	Marine Resources	Nông nghiệp đô thị	Loài đặc hữu	Dấu chân carbon	Waste Audit	Bao bì xanh	Chất gây ung thư trong môi trường	Trách nhiệm môi trường	Sustainable Urban Planning	Not Done
Ocean Acidification	Tài nguyên biển	Land Fragmentation	Ecosystem Connectivity	Carbon Neutrality	Kiểm toán rác thải	Sustainable Materials	Vector Borne Diseases	Climate Action Plan	Quy hoạch đô thị bền vững	Not Done
Axit Hóa Đại Dương	Hydrological Cycle	Manh mún đất đai	Kết nối hệ sinh thái	Trung hòa carbon	Waste Policy	Vật liệu bền vững	Bệnh truyền qua vector	Kế hoạch hành động khí hậu	Energy Efficient Buildings	Not Done
Climate Policy	Chu trình thủy văn	Composting Techniques	Biodiversity Index	Net Zero Emissions	Chính sách rác thải	Renewable Energy Integration	Urban Air Quality	International Climate Cooperation	Tòa nhà tiết kiệm năng lượng	Not Done
Chính Sách Khí Hậu	Coastal Flooding	Kỹ thuật ủ phân hữu cơ	Chỉ số đa dạng sinh học	Không phát thải ròng	Pollution Control	Tích hợp năng lượng tái tạo	Chất lượng không khí đô thị	Hợp tác khí hậu quốc tế	Urban Greening	Not Done
Rainfall Variability	Ngập lụt ven biển	Soil Organic Matter	Wetland Restoration	Climate Neutrality	Kiểm soát ô nhiễm	Trách nhiệm sản phẩm	Allergic Reactions	Policy Implementation	Phủ xanh đô thị	Not Done
Lượng Mưa Thay Đổi	Ocean Currents	Chất hữu cơ trong đất	Phục hồi vùng đất ngập nước	Trung hòa khí hậu	Air Pollution	Waste Reduction Strategy	Phản ứng dị ứng	Thực thi chính sách	Green City Development	Not Done
Sustainable Energy	Dòng hải lưu	Erosion Control	Wildlife Management	Renewable Transition	Ô nhiễm không khí	Chiến lược giảm rác thải	Chemical Residues in Food	Environmental Compliance	Phát triển thành phố xanh	Not Done
Năng Lượng Bền Vững	River Pollution	Kiểm soát xói mòn	Quản lý động vật hoang dã	Chuyển dịch năng lượng tái tạo	Water Pollution	Recycling Industry	Dư lượng hóa chất trong thực phẩm	Tuân thủ môi trường	Smart Grid	Not Done
Carbon Footprint	Ô nhiễm sông	Soil pH Management	Ecological Corridors	Energy Policy	Ô nhiễm nguồn nước	Ngành công nghiệp tái chế	Occupational Health and Safety	Environmental Transparency	Lưới điện thông minh	Not Done
Dấu Chân Carbon	Bổ cập nước ngầm	Điều chỉnh độ pH đất	Hành lang sinh thái	Chính sách năng lượng	Soil Pollution	Material Recovery	An toàn và sức khỏe nghề nghiệp	Minh bạch môi trường	Green Energy Solutions	Not Done
Heatwave	Drinking Water Access	Agricultural Productivity	Mangrove Forests	Energy Market	Ô nhiễm đất	Thu hồi vật liệu	Environmental Stressors	Governmental Environmental Strategy	Giải pháp năng lượng xanh	Not Done
Đợt Nắng Nóng	Tiếp cận nước sạch	Năng suất nông nghiệp	Rừng ngập mặn	Thị trường năng lượng	Noise Pollution	Circular Innovation	Yếu tố gây căng thẳng môi trường	Chiến lược môi trường của chính phủ	Sustainable Housing	Not Done
Air Temperature	Marine Litter	Hiệu quả sử dụng đất	Habitat Fragmentation	Energy Demand	Ô nhiễm tiếng ồn	Đổi mới tuần hoàn	Noise Induced Hearing Loss	Public Participation	Nhà ở bền vững	Not Done
Nhiệt Độ Không Khí	Rác thải đại dương	Soil Testing	Phân mảnh sinh cảnh	Nhu cầu năng lượng	Light Pollution	Khu công nghiệp sinh thái	Mất thính lực do tiếng ồn	Sự tham gia của cộng đồng	Public Transport Integration	Not Done
Atmospheric Pressure	Estuary Conservation	Kiểm tra đất	Forest Degradation	Energy Supply	Ô nhiễm ánh sáng	Chuỗi cung ứng bền vững	Toxic Substances	Thực thi luật môi trường	Tích hợp giao thông công cộng	Not Done
Áp Suất Khí Quyển	Bảo tồn cửa sông	Land Tenure	Suy thoái rừng	Nguồn cung năng lượng	Thermal Pollution	Green Procurement	Chất độc hại	Eco Friendly Policy	Eco Friendly Commuting	Not Done
Wind Pattern	Water Management Policy	Quyền sử dụng đất	Biodiversity Loss	Energy Infrastructure	Ô nhiễm nhiệt	Mua sắm xanh	Mercury Exposure	Chính sách thân thiện môi trường	Đi lại thân thiện môi trường	Not Done
Hướng Gió	Chính sách quản lý nước	Soil Microorganisms	Mất đa dạng sinh học	Cơ sở hạ tầng năng lượng	Visual Pollution	Sustainable Procurement	Phơi nhiễm thủy ngân	Sustainable Development Policy	Urban Ecosystem	Not Done
Drought Frequency	Ocean Observation	Vi sinh vật đất	Natural Regeneration	Power Generation	Ô nhiễm thị giác	Mua sắm bền vững	Wastewater Pollution	Chính sách phát triển bền vững	Hệ sinh thái đô thị	Not Done
Tần Suất Hạn Hán	Quan trắc đại dương	Organic Crop Production	Tái sinh tự nhiên	Phát điện	Industrial Pollution	Eco Label	Ô nhiễm nước thải	Trách nhiệm môi trường doanh nghiệp	Compact City	Not Done
Hydrological Cycle	Phát triển thủy điện	Sản xuất cây trồng hữu cơ	Ecosystem Assessment	Electricity Production	Ô nhiễm công nghiệp	Nhãn sinh thái	Urban Heat Islands	Quản trị biến đổi khí hậu	Thành phố nén	Not Done
Chu Trình Thủy Văn	Flood Risk Management	Soil Salinity	Đánh giá hệ sinh thái	Sản xuất điện	Marine Pollution	Carbon Neutral	Đảo nhiệt đô thị	Environmental Institutions	Eco Neighborhood	Not Done
Energy Transition	Quản lý rủi ro lũ lụt	Độ mặn của đất	Wildlife Trafficking	Energy Security	Ô nhiễm biển	Trung hòa carbon	Pollen Allergies	Tổ chức môi trường	Khu dân cư sinh thái	Not Done
Chuyển Dịch Năng Lượng	Water Resource Planning	Sustainable Land Management	Buôn bán động vật hoang dã	An ninh năng lượng	Urban Pollution	Sustainable Tourism	Dị ứng phấn hoa	Sustainable Resource Policy	Giao thông đô thị bền vững	Not Done
Climate Data	Quy hoạch tài nguyên nước	Quản lý đất bền vững	Habitat Restoration	Sustainable Mining	Ô nhiễm đô thị	Du lịch bền vững	Environmental Risk Assessment	Chính sách tài nguyên bền vững	Green Lighting	Not Done
Dữ Liệu Khí Hậu	Seawater Quality	Land Cover Mapping	Phục hồi môi trường sống	Khai thác bền vững	Chemical Pollution	Sustainable Agriculture	Đánh giá rủi ro môi trường	Environmental Protection Agency	Chiếu sáng xanh	Not Done
Climate Model	Chất lượng nước biển	Bản đồ lớp phủ đất	Species Migration	Green Technology	Ô nhiễm hóa chất	Nông nghiệp bền vững	Chemical Spills	Cơ quan bảo vệ môi trường	Urban Agriculture	Not Done
Mô Hình Khí Hậu	Aquatic Plants	Soil Carbon Sequestration	Di cư loài	Công nghệ xanh	Heavy Metal Contamination	Sustainable Transport	Tràn hóa chất	Báo cáo môi trường quốc gia	Nông nghiệp đô thị	Not Done
Precipitation Change	Thực vật thủy sinh	Lưu trữ các bon trong đất	Ecosystem Mapping	Clean Technology	Nhiễm kim loại nặng	Giao thông bền vững	Green Spaces and Mental Health	Climate Finance	Smart Home Technology	Not Done
Thay Đổi Lượng Mưa	Fish Habitat Protection	Urban Development	Lập bản đồ hệ sinh thái	Công nghệ sạch	Lead Pollution	Responsible Consumption	Không gian xanh và sức khỏe tinh thần	Tài chính khí hậu	Công nghệ nhà thông minh	Not Done
Thermal Expansion	Bảo vệ nơi sinh sản của cá	Phát triển đô thị	Nature Based Solutions	Biofuel	Ô nhiễm chì	Tiêu dùng có trách nhiệm	Bioaccumulation	Environmental Accountability	Green Public Spaces	Not Done
Giãn Nở Nhiệt	Water Infrastructure	Agrochemical Pollution	Giải pháp dựa vào thiên nhiên	Nhiên liệu sinh học	Mercury Pollution	Climate Neutrality	Tích tụ sinh học	Trách nhiệm giải trình môi trường	Sustainable Waste Management	Not Done
Glacier Melting	Hạ tầng nước	Ô nhiễm hóa chất nông nghiệp	Species Interaction	Ethanol Production	Ô nhiễm thủy ngân	Trung hòa khí hậu	Climate Related Diseases	Government Sustainability Plan	Quản lý rác thải bền vững	Not Done
Tan Băng	Coastal Ecosystem Services	Soil Health	Tương tác giữa các loài	Sản xuất ethanol	Arsenic Contamination	Circular Design	Bệnh liên quan khí hậu	Kế hoạch phát triển bền vững của chính phủ	Clean Energy Transition	Not Done
Carbon Pricing	Dịch vụ hệ sinh thái ven biển	Sức khỏe đất	Ecological Succession	Hydrogen Energy	Nhiễm asen	Thiết kế tuần hoàn	UV Radiation Exposure	Environmental Training	Chuyển đổi sang năng lượng sạch	Not Done
Định Giá Carbon	Ocean Governance	Farmland Protection	Diễn thế sinh thái	Năng lượng hydro	Toxic Emissions	Renewable Material	Tiếp xúc tia UV	Đào tạo môi trường	Chỉ số bền vững đô thị	Not Done
Ecosystem Impact	Quản trị đại dương	Bảo vệ đất nông nghiệp	Rừng ngập nước	Hydrogen Fuel Cells	Khí thải độc hại	Vật liệu tái tạo	Giám sát sức khỏe môi trường	Policy Evaluation	Green Transportation Network	Not Done
Ảnh Hưởng Hệ Sinh Thái	Mangrove Restoration	Deforestation	Ecosystem Health	Pin nhiên liệu hydro	Smog Formation	Green Transition	Toxicology Studies	Đánh giá chính sách	Mạng lưới giao thông xanh	Not Done
Environmental Protection	Phục hồi rừng ngập mặn	Phá rừng	Sức khỏe hệ sinh thái	Renewable Investments	Sương mù quang hóa	Chuyển đổi xanh	Nghiên cứu độc học	Green Innovation Policy	Eco Conscious Consumer	Not Done
Bảo Vệ Môi Trường	Marine Tourism	Reforestation	Coral Reef Conservation	Đầu tư năng lượng tái tạo	Acid Rain	Mô hình kinh doanh tuần hoàn	Sick Building Syndrome	Chính sách đổi mới xanh	Người tiêu dùng có ý thức sinh thái	Not Done
Renewable Technology	Du lịch biển	Tái trồng rừng	Bảo tồn rạn san hô	Energy Innovation	Mưa axit	Product Life Extension	Hội chứng tòa nhà bệnh	Environmental Stewardship	Zero Emission Zone	Not Done
Công Nghệ Năng Lượng Xanh	River Conservation	Soil Biodiversity	Forest Biodiversity	Đổi mới năng lượng	Environmental Degradation	Kéo dài vòng đời sản phẩm	Heat Stress	Bảo hộ môi trường	Khu vực không phát thải	Not Done
Solar Power	Bảo tồn sông ngòi	Đa dạng sinh học đất	Đa dạng sinh học rừng	Smart Grid	Suy thoái môi trường	Repair Economy	Căng thẳng nhiệt	Natural Resource Governance	Sustainable Water Use	Not Done
